Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cats,Chrome 116.0.0.0,,,2023-08-28 13:51:02,2023-08-28 13:51:10,8.126s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Cat,Chrome 116.0.0.0,,,2023-08-28 13:51:03,2023-08-28 13:51:10,7.797s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:51:03,2023-08-28 13:51:07,4.100s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:51:07,2023-08-28 13:51:08,0.766s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:51:08,2023-08-28 13:51:09,1.240s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:51:09,2023-08-28 13:51:10,0.455s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:51:10,2023-08-28 13:51:10,0.749s,PASSED
