Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:20:14,2023-08-28 13:20:22,8.667s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:20:14,2023-08-28 13:20:22,8.309s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:20:15,2023-08-28 13:20:19,4.543s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:20:19,2023-08-28 13:20:20,0.803s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:20:20,2023-08-28 13:20:21,1.253s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:20:21,2023-08-28 13:20:22,0.466s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:20:22,2023-08-28 13:20:22,0.757s,PASSED
