Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Birds,Chrome 116.0.0.0,,,2023-08-28 16:47:57,2023-08-28 16:48:04,7.099s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Birds,Chrome 116.0.0.0,,,2023-08-28 16:47:57,2023-08-28 16:48:04,6.800s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 16:47:57,2023-08-28 16:48:00,2.655s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 16:48:00,2023-08-28 16:48:01,0.748s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 16:48:01,2023-08-28 16:48:02,1.473s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 16:48:02,2023-08-28 16:48:03,0.708s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 16:48:03,2023-08-28 16:48:04,0.778s,PASSED
