Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:51:59,2023-08-28 13:52:06,7.660s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:51:59,2023-08-28 13:52:06,7.310s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:52:00,2023-08-28 13:52:03,3.249s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:52:03,2023-08-28 13:52:04,0.744s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:52:04,2023-08-28 13:52:05,1.431s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:52:05,2023-08-28 13:52:06,0.500s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:52:06,2023-08-28 13:52:06,0.739s,PASSED
