Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 16:48:34,2023-08-28 16:48:43,9.512s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 16:48:34,2023-08-28 16:48:43,8.791s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 16:48:36,2023-08-28 16:48:40,4.126s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 16:48:40,2023-08-28 16:48:41,0.731s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 16:48:41,2023-08-28 16:48:42,1.194s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 16:48:42,2023-08-28 16:48:43,0.421s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 16:48:43,2023-08-28 16:48:43,0.748s,PASSED
