Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:17:17,2023-08-28 13:17:24,6.897s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:17:17,2023-08-28 13:17:24,6.385s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:17:18,2023-08-28 13:17:21,2.725s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:17:21,2023-08-28 13:17:21,0.693s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:17:21,2023-08-28 13:17:23,1.223s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:17:23,2023-08-28 13:17:23,0.440s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:17:23,2023-08-28 13:17:24,0.714s,PASSED
