Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VT_Fish,Chrome 116.0.0.0,,,2023-08-29 11:05:02,2023-08-29 11:05:10,8.826s,PASSED
,,,,,,,
Test Cases/VT_TestCases/VT_Fish,Chrome 116.0.0.0,,,2023-08-29 11:05:02,2023-08-29 11:05:10,8.251s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-29 11:05:03,2023-08-29 11:05:06,2.843s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-29 11:05:06,2023-08-29 11:05:06,0.759s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/a_Enter the Store (2)""))",Chrome 116.0.0.0,,,2023-08-29 11:05:06,2023-08-29 11:05:08,1.333s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/img (2)""))",Chrome 116.0.0.0,,,2023-08-29 11:05:08,2023-08-29 11:05:09,0.834s,PASSED
"takeScreenshotAsCheckpoint(""Fish"")",Chrome 116.0.0.0,,,2023-08-29 11:05:09,2023-08-29 11:05:10,0.994s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-29 11:05:10,2023-08-29 11:05:10,0.727s,PASSED
