Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VT_Fish,Chrome 116.0.0.0,,,2023-08-29 11:04:07,2023-08-29 11:04:30,22.738s,FAILED
,,,,,,,
Test Cases/VT_TestCases/VT_Fish,Chrome 116.0.0.0,,,2023-08-29 11:04:25,2023-08-29 11:04:30,5.236s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-29 11:04:25,2023-08-29 11:04:27,2.150s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-29 11:04:27,2023-08-29 11:04:28,0.724s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/a_Enter the Store (2)""))",Chrome 116.0.0.0,,,2023-08-29 11:04:28,2023-08-29 11:04:29,1.224s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/img (2)""))",Chrome 116.0.0.0,,,2023-08-29 11:04:29,2023-08-29 11:04:30,0.817s,PASSED
"takeScreenshotAsCheckpoint("""")",Chrome 116.0.0.0,,,2023-08-29 11:04:30,2023-08-29 11:04:30,0.298s,FAILED
