Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cats,Chrome 116.0.0.0,,,2023-08-28 12:50:25,2023-08-28 12:50:36,10.687s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Cat,Chrome 116.0.0.0,,,2023-08-28 12:50:26,2023-08-28 12:50:36,10.229s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:50:26,2023-08-28 12:50:32,5.864s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:50:32,2023-08-28 12:50:33,0.843s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:50:33,2023-08-28 12:50:35,1.357s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:50:35,2023-08-28 12:50:35,0.689s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:50:35,2023-08-28 12:50:36,0.765s,PASSED
