Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 13:48:18,2023-08-28 13:48:25,7.129s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 13:48:18,2023-08-28 13:48:25,6.793s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:48:19,2023-08-28 13:48:22,3.076s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:48:22,2023-08-28 13:48:23,0.757s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:48:23,2023-08-28 13:48:24,1.253s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:48:24,2023-08-28 13:48:24,0.438s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:48:24,2023-08-28 13:48:25,0.743s,PASSED
