Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 13:01:18,2023-08-28 13:01:24,6.614s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 13:01:18,2023-08-28 13:01:24,6.210s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:01:18,2023-08-28 13:01:21,2.770s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:01:21,2023-08-28 13:01:22,0.713s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:01:22,2023-08-28 13:01:23,1.191s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:01:23,2023-08-28 13:01:24,0.387s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:01:24,2023-08-28 13:01:24,0.685s,PASSED
