Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 12:54:02,2023-08-28 12:54:08,6.537s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 12:54:02,2023-08-28 12:54:08,6.229s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:54:03,2023-08-28 12:54:05,2.538s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:54:05,2023-08-28 12:54:06,0.715s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:54:06,2023-08-28 12:54:07,1.156s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:54:07,2023-08-28 12:54:08,0.440s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:54:08,2023-08-28 12:54:08,0.710s,PASSED
