Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 13:49:47,2023-08-28 13:49:54,7.210s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 13:49:48,2023-08-28 13:49:54,6.692s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:49:48,2023-08-28 13:49:51,3.053s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:49:51,2023-08-28 13:49:52,0.720s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:49:52,2023-08-28 13:49:53,1.143s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:49:53,2023-08-28 13:49:54,0.448s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:49:54,2023-08-28 13:49:54,0.667s,PASSED
