Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cats,Chrome 116.0.0.0,,,2023-08-28 12:53:53,2023-08-28 12:54:01,8.219s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Cat,Chrome 116.0.0.0,,,2023-08-28 12:53:53,2023-08-28 12:54:01,7.680s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:53:54,2023-08-28 12:53:57,3.166s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:53:57,2023-08-28 12:53:58,0.754s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:53:58,2023-08-28 12:54:00,1.688s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:54:00,2023-08-28 12:54:00,0.397s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:54:00,2023-08-28 12:54:01,0.975s,PASSED
