Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Birds,Chrome 116.0.0.0,,,2023-08-28 13:54:23,2023-08-28 13:54:29,6.667s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Birds,Chrome 116.0.0.0,,,2023-08-28 13:54:23,2023-08-28 13:54:29,6.359s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:54:23,2023-08-28 13:54:26,2.702s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:54:26,2023-08-28 13:54:27,0.723s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:54:27,2023-08-28 13:54:28,1.206s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:54:28,2023-08-28 13:54:29,0.494s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:54:29,2023-08-28 13:54:29,0.707s,PASSED
