Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 13:49:44,2023-08-28 13:49:52,7.502s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 13:49:45,2023-08-28 13:49:52,7.111s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:49:45,2023-08-28 13:49:48,2.792s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:49:48,2023-08-28 13:49:49,0.810s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:49:49,2023-08-28 13:49:50,1.348s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:49:50,2023-08-28 13:49:50,0.473s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:49:50,2023-08-28 13:49:52,1.201s,PASSED
