Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:48:22,2023-08-28 13:48:29,7.150s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:48:23,2023-08-28 13:48:29,6.575s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:48:24,2023-08-28 13:48:26,2.708s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:48:26,2023-08-28 13:48:27,0.725s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:48:27,2023-08-28 13:48:28,1.161s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:48:28,2023-08-28 13:48:29,0.483s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:48:29,2023-08-28 13:48:29,0.683s,PASSED
