Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Birds,Chrome 116.0.0.0,,,2023-08-28 13:49:04,2023-08-28 13:49:11,6.823s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Birds,Chrome 116.0.0.0,,,2023-08-28 13:49:05,2023-08-28 13:49:11,6.419s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:49:05,2023-08-28 13:49:08,2.914s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:49:08,2023-08-28 13:49:09,0.707s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:49:09,2023-08-28 13:49:10,1.171s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:49:10,2023-08-28 13:49:10,0.405s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:49:10,2023-08-28 13:49:11,0.720s,PASSED
