Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 12:58:16,2023-08-28 12:58:24,7.235s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 12:58:17,2023-08-28 12:58:24,6.822s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:58:17,2023-08-28 12:58:21,3.181s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:58:21,2023-08-28 12:58:21,0.698s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:58:21,2023-08-28 12:58:23,1.167s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:58:23,2023-08-28 12:58:23,0.437s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:58:23,2023-08-28 12:58:24,0.712s,PASSED
