Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Birds,Chrome 116.0.0.0,,,2023-08-28 13:52:51,2023-08-28 13:52:58,7.007s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Birds,Chrome 116.0.0.0,,,2023-08-28 13:52:51,2023-08-28 13:52:58,6.629s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:52:52,2023-08-28 13:52:54,2.812s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:52:54,2023-08-28 13:52:55,0.751s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:52:55,2023-08-28 13:52:56,1.278s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:52:56,2023-08-28 13:52:57,0.390s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:52:57,2023-08-28 13:52:58,0.903s,PASSED
