Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cats,Chrome 116.0.0.0,,,2023-08-28 12:46:28,2023-08-28 12:46:35,6.688s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Cat,Chrome 116.0.0.0,,,2023-08-28 12:46:28,2023-08-28 12:46:35,6.302s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:46:29,2023-08-28 12:46:32,2.599s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:46:32,2023-08-28 12:46:32,0.703s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:46:32,2023-08-28 12:46:34,1.284s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:46:34,2023-08-28 12:46:34,0.390s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:46:34,2023-08-28 12:46:35,0.681s,PASSED
