Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 16:48:31,2023-08-28 16:48:39,8.011s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 16:48:31,2023-08-28 16:48:39,7.702s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 16:48:32,2023-08-28 16:48:35,2.782s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 16:48:35,2023-08-28 16:48:36,0.923s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 16:48:36,2023-08-28 16:48:38,2.024s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 16:48:38,2023-08-28 16:48:38,0.618s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 16:48:38,2023-08-28 16:48:39,0.845s,PASSED
