Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 12:49:17,2023-08-28 12:49:24,7.059s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 12:49:17,2023-08-28 12:49:24,6.767s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:49:18,2023-08-28 12:49:21,3.053s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:49:21,2023-08-28 12:49:22,0.733s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:49:22,2023-08-28 12:49:23,1.280s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:49:23,2023-08-28 12:49:23,0.394s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:49:23,2023-08-28 12:49:24,0.671s,PASSED
