Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cats,Chrome 116.0.0.0,,,2023-08-28 13:28:25,2023-08-28 13:28:33,7.151s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Cat,Chrome 116.0.0.0,,,2023-08-28 13:28:26,2023-08-28 13:28:33,6.807s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:28:26,2023-08-28 13:28:29,2.968s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:28:29,2023-08-28 13:28:30,0.741s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:28:30,2023-08-28 13:28:31,1.200s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:28:31,2023-08-28 13:28:32,0.469s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:28:32,2023-08-28 13:28:33,0.722s,PASSED
