Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cats,Chrome 116.0.0.0,,,2023-08-28 12:41:33,2023-08-28 12:41:39,6.355s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Cat,Chrome 116.0.0.0,,,2023-08-28 12:41:33,2023-08-28 12:41:39,6.047s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:41:34,2023-08-28 12:41:36,2.511s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:41:36,2023-08-28 12:41:37,0.745s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:41:37,2023-08-28 12:41:38,1.158s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:41:38,2023-08-28 12:41:38,0.472s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:41:38,2023-08-28 12:41:39,0.674s,PASSED
