Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 12:45:11,2023-08-28 12:45:17,6.598s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 12:45:11,2023-08-28 12:45:17,6.222s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:45:12,2023-08-28 12:45:14,2.679s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:45:14,2023-08-28 12:45:15,0.753s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:45:15,2023-08-28 12:45:16,1.230s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:45:16,2023-08-28 12:45:17,0.443s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:45:17,2023-08-28 12:45:17,0.654s,PASSED
