Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 13:23:25,2023-08-28 13:23:31,6.871s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 13:23:25,2023-08-28 13:23:31,6.533s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:23:25,2023-08-28 13:23:28,2.570s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:23:28,2023-08-28 13:23:29,0.697s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:23:29,2023-08-28 13:23:30,1.583s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:23:30,2023-08-28 13:23:31,0.463s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:23:31,2023-08-28 13:23:31,0.709s,PASSED
