Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Birds,Chrome 116.0.0.0,,,2023-08-28 13:29:26,2023-08-28 13:29:32,6.403s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Birds,Chrome 116.0.0.0,,,2023-08-28 13:29:26,2023-08-28 13:29:32,6.135s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:29:26,2023-08-28 13:29:29,2.750s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:29:29,2023-08-28 13:29:30,0.708s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:29:30,2023-08-28 13:29:31,1.167s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Birds/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:29:31,2023-08-28 13:29:31,0.394s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:29:31,2023-08-28 13:29:32,0.703s,PASSED
