Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 12:52:53,2023-08-28 12:53:00,7.330s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 12:52:53,2023-08-28 12:53:00,7.004s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:52:54,2023-08-28 12:52:57,3.068s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:52:57,2023-08-28 12:52:58,0.755s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:52:58,2023-08-28 12:52:59,1.212s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:52:59,2023-08-28 12:53:00,0.679s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:53:00,2023-08-28 12:53:00,0.770s,PASSED
