Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Fish,Chrome 116.0.0.0,,,2023-08-28 16:47:18,2023-08-28 16:47:26,7.512s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Fish,Chrome 116.0.0.0,,,2023-08-28 16:47:19,2023-08-28 16:47:26,7.159s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 16:47:19,2023-08-28 16:47:22,2.704s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 16:47:22,2023-08-28 16:47:23,1.044s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 16:47:23,2023-08-28 16:47:24,1.522s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 16:47:24,2023-08-28 16:47:25,0.587s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 16:47:25,2023-08-28 16:47:26,0.850s,PASSED
