Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VT_Reptile,Chrome 116.0.0.0,,,2023-08-29 11:16:49,2023-08-29 11:16:59,10.297s,PASSED
,,,,,,,
Test Cases/VT_TestCases/VT_Reptiles,Chrome 116.0.0.0,,,2023-08-29 11:16:49,2023-08-29 11:16:59,9.884s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-29 11:16:50,2023-08-29 11:16:54,4.512s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-29 11:16:54,2023-08-29 11:16:55,0.721s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/a_Enter the Store (5)""))",Chrome 116.0.0.0,,,2023-08-29 11:16:55,2023-08-29 11:16:56,1.420s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/img (5)""))",Chrome 116.0.0.0,,,2023-08-29 11:16:56,2023-08-29 11:16:57,0.870s,PASSED
"takeScreenshotAsCheckpoint(""Reptile"")",Chrome 116.0.0.0,,,2023-08-29 11:16:57,2023-08-29 11:16:58,1.092s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-29 11:16:58,2023-08-29 11:16:59,0.723s,PASSED
