Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:01:21,2023-08-28 13:01:28,6.794s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:01:22,2023-08-28 13:01:28,6.428s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:01:22,2023-08-28 13:01:25,2.791s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:01:25,2023-08-28 13:01:26,0.691s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:01:26,2023-08-28 13:01:27,1.155s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:01:27,2023-08-28 13:01:27,0.440s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:01:27,2023-08-28 13:01:28,0.702s,PASSED
