Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cats,Chrome 116.0.0.0,,,2023-08-28 13:47:49,2023-08-28 13:47:56,7.688s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Cat,Chrome 116.0.0.0,,,2023-08-28 13:47:49,2023-08-28 13:47:56,7.320s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:47:50,2023-08-28 13:47:53,3.693s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:47:53,2023-08-28 13:47:54,0.709s,PASSED
"click(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:47:54,2023-08-28 13:47:55,1.250s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:47:55,2023-08-28 13:47:56,0.398s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:47:56,2023-08-28 13:47:56,0.671s,PASSED
