Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:18:42,2023-08-28 13:18:49,7.126s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:18:43,2023-08-28 13:18:49,6.722s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:18:43,2023-08-28 13:18:46,2.868s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:18:46,2023-08-28 13:18:47,0.737s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:18:47,2023-08-28 13:18:48,1.158s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:18:48,2023-08-28 13:18:49,0.472s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:18:49,2023-08-28 13:18:49,0.715s,PASSED
