Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:55:31,2023-08-28 13:55:38,6.675s,PASSED
,,,,,,,
Test Cases/Homepage/LandingPage_Reptiles,Chrome 116.0.0.0,,,2023-08-28 13:55:32,2023-08-28 13:55:38,6.306s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:55:32,2023-08-28 13:55:35,2.781s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:55:35,2023-08-28 13:55:36,0.699s,PASSED
"click(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:55:36,2023-08-28 13:55:37,1.186s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LandingPage/LP_Reptiles/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:55:37,2023-08-28 13:55:37,0.458s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:55:37,2023-08-28 13:55:38,0.677s,PASSED
