Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VT_Dog,Chrome 116.0.0.0,,,2023-08-29 11:09:41,2023-08-29 11:09:50,8.667s,PASSED
,,,,,,,
Test Cases/VT_TestCases/VT_Dog,Chrome 116.0.0.0,,,2023-08-29 11:09:42,2023-08-29 11:09:50,8.223s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-29 11:09:43,2023-08-29 11:09:45,2.840s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-29 11:09:45,2023-08-29 11:09:46,0.754s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/a_Enter the Store (4)""))",Chrome 116.0.0.0,,,2023-08-29 11:09:46,2023-08-29 11:09:47,1.370s,PASSED
"click(findTestObject(""Object Repository/VT/Page_JPetStore Demo/img (4)""))",Chrome 116.0.0.0,,,2023-08-29 11:09:47,2023-08-29 11:09:48,0.779s,PASSED
"takeScreenshotAsCheckpoint(""Dog"")",Chrome 116.0.0.0,,,2023-08-29 11:09:48,2023-08-29 11:09:49,0.989s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-29 11:09:49,2023-08-29 11:09:50,0.700s,PASSED
